career_name,career_occ_code,career_2012_emp,career_2022_emp,career_num_emp_change,career_percent_emp_change,career_percent_self_emp,career_job_openings,career_med_ann_wage,career_edu,career_work_exp,career_job_training
Driver/sales workers and truck drivers,53-3030,2975.1,3236.5,261.4,8.8,7.2,737.2,34550,,,
"Meeting, convention, and event planners",13-1121,94.2,125.4,31.3,33.2,15.7,44.2,45810,Bachelor's degree,None,None
"Agricultural workers, all other",45-2099,14.4,14.9,0.5,3.4,0.6,4.9,25140,Less than high school,None,Short-term on-the-job training
Social science research assistants,19-4061,29.6,34,4.4,15,,16.1,37140,Associate's degree,None,None
Fundraisers,13-1131,65.7,77.1,11.4,17.3,0.9,24.3,50680,Bachelor's degree,None,None
Architecture and engineering occupations,17-0000,2474.5,2654,179.6,7.3,2.9,763.9,73540,,,
"Machine tool cutting setters, operators, and tenders, metal and plastic",51-4030,338.8,300.4,-38.5,-11.4,0.6,47.6,31470,,,
Writers and editors,27-3040,293.9,302.3,8.4,2.9,33.1,82.4,57460,,,
Models,41-9012,4.8,5.5,0.7,15.3,4.8,2.1,18750,Less than high school,None,None
Boilermakers,47-2011,18,18.7,0.7,3.7,,8.8,56560,High school diploma or equivalent,None,Apprenticeship
Database administrators,15-1141,118.7,136.6,17.9,15.1,1.6,40.3,77080,Bachelor's degree,Less than 5 years,None
Travel guides,39-7012,5.7,5.9,0.2,3.6,18.9,3,30780,High school diploma or equivalent,None,Moderate-term on-the-job training
"Physics teachers, postsecondary",25-1054,17.4,19.8,2.4,13.8,,5,78540,Doctoral or professional degree,None,None
Grounds maintenance workers,37-3000,1227.1,1381.3,154.2,12.6,22.5,463.6,23970,,,
"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",49-3090,120.2,132.4,12.2,10.2,1.5,54.1,24050,,,
Outdoor power equipment and other small engine mechanics,49-3053,30.5,32.2,1.7,5.5,11.1,8.1,30510,High school diploma or equivalent,None,Moderate-term on-the-job training
Fire inspectors and investigators,33-2021,12.2,13,0.8,6.2,,4.4,53990,High school diploma or equivalent,5 years or more,Moderate-term on-the-job training
Production occupations,51-0000,8941.9,9017.5,75.6,0.8,3.1,2150.6,30920,,,
"Nursing, psychiatric, and home health aides",31-1000,2491.5,3241.8,750.3,30.1,2,1224.2,23030,,,
"Insurance appraisers, auto damage",13-1032,13.5,12.8,-0.7,-5.3,2.9,3.1,58610,Postsecondary non-degree award,None,Moderate-term on-the-job training
"Social sciences teachers, postsecondary, all other",25-1069,12.4,14.1,1.7,13.4,,3.5,69890,Doctoral or professional degree,None,None
"Philosophy and religion teachers, postsecondary",25-1126,30.8,36.7,6,19.3,0.2,10.6,64990,Doctoral or professional degree,None,None
Architectural and civil drafters,17-3011,87.9,88.5,0.7,0.8,3.1,12.4,47870,Associate's degree,None,None
"Extraction workers, all other",47-5099,9.6,10.9,1.3,13.5,1.6,2.7,38810,High school diploma or equivalent,None,Moderate-term on-the-job training
"Welding, soldering, and brazing machine setters, operators, and tenders",51-4122,53.5,64.1,10.6,19.8,5.8,23.7,34720,High school diploma or equivalent,None,Moderate-term on-the-job training
Slot supervisors,39-1012,10.7,11.4,0.6,5.8,27,2.8,32390,High school diploma or equivalent,Less than 5 years,None
Metal workers and plastic workers,51-4000,1898.3,1894.2,-4.2,-0.2,2,468.6,35380,,,
"Helpers--pipelayers, plumbers, pipefitters, and steamfitters",47-3015,47.4,60.6,13.2,27.9,0.5,20.7,26670,High school diploma or equivalent,None,Short-term on-the-job training
"Opticians, dispensing",29-2081,67.6,83.5,15.8,23.4,3.7,35.3,33330,High school diploma or equivalent,None,Long-term on-the-job training
"Woodworkers, all other",51-7099,17.5,18.4,0.9,5,53.5,6.6,27360,High school diploma or equivalent,None,Moderate-term on-the-job training
"Career/technical education teachers, middle school",25-2023,18.2,19.1,0.9,5.2,,4.9,54220,Bachelor's degree,Less than 5 years,Internship/residency
Signal and track switch repairers,49-9097,8.8,8.7,-0.1,-1.2,,2.1,55450,High school diploma or equivalent,None,Moderate-term on-the-job training
First-line supervisors of correctional officers,33-1011,46.7,48.6,1.9,4,,18,57840,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
Electrical and electronics drafters,17-3012,29.6,32.5,2.9,9.6,3.2,6.8,55700,Associate's degree,None,None
Bailiffs,33-3011,16.8,17.7,0.9,5.3,,5.4,36840,High school diploma or equivalent,None,Moderate-term on-the-job training
Computer operators,43-9011,74.6,62,-12.7,-17,1,7.2,38390,High school diploma or equivalent,None,Moderate-term on-the-job training
Environmental scientists and geoscientists,19-2040,135.5,155.5,20,14.7,2.5,59.9,69750,,,
Dredge operators,53-7031,2,2.2,0.3,13.3,10.8,0.4,37170,Less than high school,None,Short-term on-the-job training
Marriage and family therapists,21-1013,37.8,49.4,11.6,30.6,7.4,19.6,46670,Master's degree,None,Internship/residency
"Maintenance workers, machinery",49-9043,89,98.9,9.9,11.1,,21.1,40620,High school diploma or equivalent,None,Moderate-term on-the-job training
Foresters,19-1032,12,12.8,0.7,6.1,2.2,4.2,55950,Bachelor's degree,None,None
Library technicians,25-4031,106.2,115.2,9,8.4,,66.3,30660,Postsecondary non-degree award,None,None
"Earth drillers, except oil and gas",47-5021,19.7,23.4,3.8,19.2,8.2,9,40790,High school diploma or equivalent,None,Moderate-term on-the-job training
"Meat, poultry, and fish cutters and trimmers",51-3022,163.4,172,8.6,5.3,0.8,49,22830,Less than high school,None,Short-term on-the-job training
Payroll and timekeeping clerks,43-3051,179.5,202,22.5,12.5,1.5,61.9,37690,High school diploma or equivalent,None,Moderate-term on-the-job training
Septic tank servicers and sewer pipe cleaners,47-4071,25.4,31.9,6.6,25.8,4.8,11.9,34020,Less than high school,None,Moderate-term on-the-job training
Cooling and freezing equipment operators and tenders,51-9193,8.3,8.3,0.1,1,,2,28200,High school diploma or equivalent,None,Moderate-term on-the-job training
Mental health counselors,21-1014,128.4,165.1,36.7,28.5,8.3,64,40080,Master's degree,None,Internship/residency
Cement masons and concrete finishers,47-2051,140.8,181.8,41,29.1,4.5,57.2,35760,Less than high school,None,Moderate-term on-the-job training
"Service unit operators, oil, gas, and mining",47-5013,59.3,71.7,12.4,20.9,0.8,36.4,41970,Less than high school,None,Moderate-term on-the-job training
Electrical and electronics engineers,17-2070,306.1,318.7,12.6,4.1,2,79.4,89630,,,
Air traffic controllers and airfield operations specialists,53-2020,32.1,32.8,0.7,2.3,,14.9,102490,,,
Craft artists,27-1012,11.2,11.6,0.4,3.3,57.8,3,29600,High school diploma or equivalent,None,Long-term on-the-job training
"Law, criminal justice, and social work teachers, postsecondary",25-1110,48.7,56,7.3,14.9,0.1,14.6,68550,,,
First-line supervisors of police and detectives,33-1012,103.7,108.7,5,4.9,,35.7,78270,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
Other food preparation and serving related workers,35-9000,1296.9,1383.5,86.7,6.7,0.1,768.8,18530,,,
"Construction and related workers, all other",47-4099,36.1,40.9,4.8,13.4,13.7,11.4,34990,High school diploma or equivalent,None,Moderate-term on-the-job training
Traffic technicians,53-6041,6.6,7.3,0.8,11.7,,3.4,38380,High school diploma or equivalent,None,Moderate-term on-the-job training
Chemists,19-2031,87.9,92.9,5,5.6,0.7,27.8,71770,Bachelor's degree,None,None
"Computer, automated teller, and office machine repairers",49-2011,133.1,138.2,5.1,3.8,13.9,32.8,36620,"Some college, no degree",None,None
Cutting workers,51-9030,72.6,65.5,-7.1,-9.7,3,12.2,30000,,,
Musicians and singers,27-2042,167.4,176.2,8.7,5.2,36,53.9,,High school diploma or equivalent,None,Long-term on-the-job training
Costume attendants,39-3092,5.6,6,0.4,6.6,,3.2,36760,High school diploma or equivalent,None,Short-term on-the-job training
Miscellaneous personal appearance workers,39-5090,152.9,183.9,31,20.3,26.8,43.9,20060,,,
Stationary engineers and boiler operators,51-8021,37.9,39,1.2,3.1,,12.7,53560,High school diploma or equivalent,None,Long-term on-the-job training
"Athletes, coaches, umpires, and related workers",27-2020,276.3,314.8,38.5,13.9,10.9,120.4,28580,,,
"Compensation, benefits, and job analysis specialists",13-1141,91.7,97,5.3,5.8,0.8,22,59090,Bachelor's degree,None,None
Entertainment attendants and related workers,39-3000,548.8,596.1,47.3,8.6,0.8,284.4,18850,,,
Private detectives and investigators,33-9021,30,33.3,3.3,11.2,20.9,11.8,45740,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
Diagnostic related technologists and technicians,29-2030,360.6,456.2,95.6,26.5,1.1,146.4,57850,,,
Air traffic controllers,53-2021,25,25.4,0.4,1.4,,11.4,122530,Associate's degree,None,Long-term on-the-job training
Prosthodontists,29-1024,0.4,0.5,0.1,15,25.5,0.2,169130,Doctoral or professional degree,None,Internship/residency
Rail car repairers,49-3043,21.2,21.7,0.5,2.5,3.8,6.6,48500,High school diploma or equivalent,None,Long-term on-the-job training
Chemical plant and system operators,51-8091,38.3,33.9,-4.4,-11.5,,14.2,54390,High school diploma or equivalent,None,Long-term on-the-job training
"Health technologists and technicians, all other",29-2099,90.4,114.6,24.2,26.7,4.8,33.1,40700,High school diploma or equivalent,None,None
Medical and health services managers,11-9111,315.5,388.8,73.3,23.2,4.6,149.9,88580,Bachelor's degree,None,None
"Industrial engineers, including health and safety",17-2110,247.4,260.1,12.7,5.1,0.6,85.1,78690,,,
"Foreign language and literature teachers, postsecondary",25-1124,35.8,41.2,5.5,15.3,0.1,10.8,58670,Doctoral or professional degree,None,None
Transportation inspectors,53-6051,26.2,29.1,2.9,11.2,4,11.7,63680,High school diploma or equivalent,None,Moderate-term on-the-job training
Financial managers,11-3031,532.1,579.2,47.1,8.9,5.1,146.9,109740,Bachelor's degree,5 years or more,None
"Model makers and patternmakers, metal and plastic",51-4060,10.6,11,0.4,3.8,6.3,2.4,44340,,,
Electricians,47-2111,583.5,698.2,114.7,19.7,9.5,224.6,49840,High school diploma or equivalent,None,Apprenticeship
"Fine artists, including painters, sculptors, and illustrators",27-1013,28.8,29.9,1.1,3.8,56.6,7.9,44850,High school diploma or equivalent,None,Long-term on-the-job training
"Cooks, institution and cafeteria",35-2012,408.9,462.8,54,13.2,0.7,134.6,22860,Less than high school,None,Short-term on-the-job training
Mechanical engineering technicians,17-3027,47.5,49.7,2.2,4.7,0.3,12.1,51980,Associate's degree,None,None
Water transportation workers,53-5000,81.6,92.4,10.9,13.3,5.1,48.1,48980,,,
Bridge and lock tenders,53-6011,3.6,3.6,-0.1,-2,,1.4,45940,High school diploma or equivalent,None,Short-term on-the-job training
Hearing aid specialists,29-2092,5.3,6.6,1.3,25.2,5.3,1.9,41430,High school diploma or equivalent,None,None
Healthcare support occupations,31-0000,4110.2,5266,1155.8,28.1,3,1938.3,25550,,,
Motion picture projectionists,39-3021,8,5.8,-2.1,-26.5,,3.1,19830,Less than high school,None,Short-term on-the-job training
Reinforcing iron and rebar workers,47-2171,15.5,19,3.6,23.1,,6.2,45910,High school diploma or equivalent,None,Apprenticeship
"Secretaries and administrative assistants, except legal, medical, and executive",43-6014,2324.4,2632.3,307.8,13.2,0.9,587.6,32410,High school diploma or equivalent,None,Short-term on-the-job training
"Railroad brake, signal, and switch operators",53-4021,25,24.4,-0.7,-2.6,,7.6,51340,High school diploma or equivalent,None,Moderate-term on-the-job training
Merchandise displayers and window trimmers,27-1026,98.7,108.7,10,10.1,25.6,36.1,26410,High school diploma or equivalent,None,Moderate-term on-the-job training
Construction managers,11-9021,485,563.2,78.2,16.1,56.7,154.6,82790,Bachelor's degree,None,Moderate-term on-the-job training
Astronomers,19-2011,2.7,2.9,0.3,10,5.2,0.9,96460,Doctoral or professional degree,None,None
"Mining and geological engineers, including mining safety engineers",17-2151,7.9,8.9,1,12,1.2,3,84320,Bachelor's degree,None,None
Clergy,21-2011,239.6,263.2,23.6,9.8,0.8,72.6,44060,Bachelor's degree,None,Moderate-term on-the-job training
Fire fighting and prevention workers,33-2000,321.1,342.2,21.1,6.6,0.2,109,45590,,,
Carpet installers,47-2041,36.7,39.9,3.2,8.7,30.7,9.8,36740,Less than high school,None,Short-term on-the-job training
"Insulation workers, mechanical",47-2132,28.9,42.4,13.5,46.7,1.6,17.3,39170,High school diploma or equivalent,None,Apprenticeship
"Secondary school teachers, except special and career/technical education",25-2031,955.8,1008.7,52.9,5.5,,312.6,55050,Bachelor's degree,None,Internship/residency
Gaming cage workers,43-3041,18.4,19.8,1.3,7.3,,4.9,24610,High school diploma or equivalent,None,Short-term on-the-job training
"Power plant operators, distributors, and dispatchers",51-8010,60.7,56,-4.6,-7.6,,18.8,68230,,,
Locomotive engineers,53-4011,38,36.5,-1.5,-3.9,,11.4,52280,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
Electronic home entertainment equipment installers and repairers,49-2097,31.3,31.6,0.4,1.2,13.7,11.4,35060,Postsecondary non-degree award,None,None
Media and communication equipment workers,27-4000,323.4,341,17.6,5.4,33.4,60,39450,,,
Phlebotomists,31-9097,101.3,128.4,27.1,26.7,0.5,46.4,29730,Postsecondary non-degree award,None,None
"Cooks, private household",35-2013,7,6.9,-0.1,-0.8,,1.4,23470,Postsecondary non-degree award,Less than 5 years,None
"Clinical, counseling, and school psychologists",19-3031,145.1,161.5,16.4,11.3,27.2,55.9,67650,Doctoral or professional degree,None,Internship/residency
"Pourers and casters, metal",51-4052,10.7,8.7,-2,-18.7,0.8,1.4,34060,High school diploma or equivalent,None,Moderate-term on-the-job training
Education administrators,11-9030,491.4,542,50.6,10.3,3.8,181.3,82930,,,
Film and video editors,27-4032,28.1,28.3,0.2,0.6,23.5,2.3,51300,Bachelor's degree,None,None
Upholsterers,51-6093,40.9,41.2,0.3,0.7,31.7,11.3,29930,High school diploma or equivalent,None,Moderate-term on-the-job training
"Grinding and polishing workers, hand",51-9022,31.5,31,-0.5,-1.7,2.3,8.9,27890,Less than high school,None,Moderate-term on-the-job training
Statisticians,15-2041,27.6,34.9,7.4,26.7,0.6,16.1,75560,Master's degree,None,None
Agricultural engineers,17-2021,2.6,2.7,0.1,4.8,,0.8,74000,Bachelor's degree,None,None
"Psychology teachers, postsecondary",25-1066,47.5,54.2,6.8,14.2,0.1,13.9,68020,Doctoral or professional degree,None,None
"Radio, cellular, and tower equipment installers and repairs",49-2021,16.4,17.5,1.1,6.6,3.4,3.3,43900,Associate's degree,None,Moderate-term on-the-job training
Transportation and material moving occupations,53-0000,9245.7,10036.4,790.6,8.6,4,2992.1,28960,,,
"Cooks, short order",35-2015,166.1,166.6,0.5,0.3,1.2,33.3,19730,Less than high school,None,Short-term on-the-job training
Gas compressor and gas pumping station operators,53-7071,4.8,4.7,-0.1,-3.1,8.7,1.7,51150,Less than high school,None,Moderate-term on-the-job training
"Wholesale and retail buyers, except farm products",13-1022,124.6,133.5,8.9,7.1,12.2,39.9,51470,High school diploma or equivalent,None,Long-term on-the-job training
"Career/technical education teachers, secondary school",25-2032,85.4,89.7,4.3,5,,27.5,55160,Bachelor's degree,Less than 5 years,Internship/residency
Social scientists and related workers,19-3000,290.4,323.2,32.8,11.3,16.1,111,69290,,,
"Engineering teachers, postsecondary",25-1032,42.5,47.5,5,11.8,,11.4,92670,Doctoral or professional degree,None,None
Gaming services workers,39-3010,128.2,141.9,13.8,10.8,1.4,35.9,18910,,,
"Special education teachers, all other",25-2059,40.7,44.6,3.9,9.5,0.9,10.8,51980,Bachelor's degree,None,Internship/residency
Mine shuttle car operators,53-7111,3,2.9,-0.1,-3.7,,0.8,52110,Less than high school,None,Short-term on-the-job training
Dishwashers,35-9021,508.5,540.2,31.7,6.2,,255.5,18460,Less than high school,None,Short-term on-the-job training
"Claims adjusters, appraisers, examiners, and investigators",13-1030,311.1,321.9,10.8,3.5,2.4,83.4,59850,,,
"Ambulance drivers and attendants, except emergency medical technicians",53-3011,18.9,24.8,5.9,31.1,,9,23440,High school diploma or equivalent,None,Moderate-term on-the-job training
Health practitioner support technologists and technicians,29-2050,677.8,821.3,143.5,21.2,0.1,210.5,31330,,,
"Transportation attendants, except flight attendants",53-6061,23.3,25.9,2.6,11,,6.4,21490,High school diploma or equivalent,None,Short-term on-the-job training
Computer and mathematical occupations,15-0000,3814.7,4500.5,685.8,18,2.9,1308.5,76270,,,
Woodworkers,51-7000,222.3,239,16.7,7.5,9.2,46.3,28440,,,
Rail-track laying and maintenance equipment operators,47-4061,17.3,18.2,0.9,5.2,,4.5,45920,High school diploma or equivalent,None,Moderate-term on-the-job training
"Financial clerks, all other",43-3099,40.7,45.2,4.4,10.9,1.7,15.9,36850,High school diploma or equivalent,None,Short-term on-the-job training
Advertising sales agents,41-3011,154.6,153.6,-1,-0.7,6,47.5,46290,High school diploma or equivalent,None,Moderate-term on-the-job training
Emergency medical technicians and paramedics,29-2041,239.1,294.4,55.3,23.1,0.9,120.6,31020,Postsecondary non-degree award,None,None
"Eligibility interviewers, government programs",43-4061,138.1,152,13.9,10.1,1.1,41.6,40530,High school diploma or equivalent,None,Moderate-term on-the-job training
Occupational therapy assistants and aides,31-2010,38.6,54.6,15.9,41.2,0.8,25.6,48940,,,
Brokerage clerks,43-4011,61.9,64.3,2.4,3.8,,18.4,42440,High school diploma or equivalent,None,Moderate-term on-the-job training
Diagnostic medical sonographers,29-2032,58.8,85.9,27,46,1.1,35.3,65860,Associate's degree,None,None
"Pipelayers, plumbers, pipefitters, and steamfitters",47-2150,435.4,527.8,92.5,21.2,10.3,146.6,47460,,,
Solar photovoltaic installers,47-2231,4.8,5.9,1.2,24.5,,2,37900,High school diploma or equivalent,None,Moderate-term on-the-job training
Miscellaneous community and social service specialists,21-1090,668,785.6,117.6,17.6,0,293.2,34130,,,
"Butchers and other meat, poultry, and fish processing workers",51-3020,380.8,394,13.2,3.5,0.8,109.1,24420,,,
Cargo and freight agents,43-5011,79.5,91,11.5,14.5,0.4,33,39720,High school diploma or equivalent,None,Short-term on-the-job training
Food service managers,11-9051,321.4,326.5,5,1.6,39.8,62.4,47960,High school diploma or equivalent,Less than 5 years,None
"Arbitrators, mediators, and conciliators",23-1022,8.4,9.3,0.9,10.4,16.7,2.2,61280,Bachelor's degree,Less than 5 years,Moderate-term on-the-job training
Musical instrument repairers and tuners,49-9063,8.2,8.7,0.5,6.2,16.1,2.8,30630,High school diploma or equivalent,None,Apprenticeship
Compensation and benefits managers,11-3111,20.7,21.4,0.6,3.1,,6.1,95250,Bachelor's degree,5 years or more,None
"Painters, construction and maintenance",47-2141,316.2,378.8,62.6,19.8,40.7,110.5,35190,Less than high school,None,Moderate-term on-the-job training
Structural metal fabricators and fitters,51-2041,79.7,85.9,6.2,7.7,0.7,38.2,35750,High school diploma or equivalent,None,Moderate-term on-the-job training
"Graders and sorters, agricultural products",45-2041,49.2,48.2,-1,-2,2.4,8.7,19150,Less than high school,None,Short-term on-the-job training
"History teachers, postsecondary",25-1125,29.2,33.1,4,13.6,,8.3,65870,Doctoral or professional degree,None,None
Advertising and promotions managers,11-2011,35.5,38,2.4,6.9,17.8,13.4,88590,Bachelor's degree,Less than 5 years,None
File clerks,43-4071,164.2,158.8,-5.3,-3.3,0.7,37.5,26190,High school diploma or equivalent,None,Short-term on-the-job training
Machine feeders and offbearers,53-7063,106.1,108.2,2.1,2,0.2,23.2,27120,Less than high school,None,Short-term on-the-job training
Bicycle repairers,49-3091,10.6,13.3,2.7,25.1,1.5,6.4,24150,High school diploma or equivalent,None,Moderate-term on-the-job training
Police and sheriff's patrol officers,33-3051,653.8,692.7,38.8,5.9,,243.9,55270,High school diploma or equivalent,None,Moderate-term on-the-job training
Psychiatric aides,31-1013,82,86.8,4.9,6,1,20.5,24580,High school diploma or equivalent,None,Short-term on-the-job training
Occupational therapy aides,31-2012,8.4,11.4,3,36.2,0.8,5.1,26850,High school diploma or equivalent,None,Short-term on-the-job training
Gaming change persons and booth cashiers,41-2012,22.3,22.3,0,0.1,0.6,9.7,24690,High school diploma or equivalent,None,Short-term on-the-job training
"Drafters, engineering technicians, and mapping technicians",17-3000,702.8,717.7,14.8,2.1,1.9,149.6,51720,,,
Editors,27-3041,115.3,112.5,-2.8,-2.4,10.2,28,53880,Bachelor's degree,Less than 5 years,None
"Electrical and electronic equipment mechanics, installers, and repairers",49-2000,617.8,643.4,25.6,4.1,6.2,140.5,46550,,,
Magnetic resonance imaging technologists,29-2035,30.1,37.2,7.1,23.6,1.1,11.3,65360,Associate's degree,Less than 5 years,None
First-line supervisors of personal service workers,39-1021,251.5,279.5,28,11.1,41.6,74.3,35150,High school diploma or equivalent,Less than 5 years,None
Elevator installers and repairers,47-4021,19.7,24.5,4.8,24.6,,8,76650,High school diploma or equivalent,None,Apprenticeship
"Religious workers, all other",21-2099,59.9,65.3,5.4,8.9,,19.1,26380,Bachelor's degree,None,None
"Electrical and electronics repairers, powerhouse, substation, and relay",49-2095,24.5,24.5,-0.1,-0.2,0.7,5,68810,Postsecondary non-degree award,None,Long-term on-the-job training
Recreational vehicle service technicians,49-3092,11.1,12.1,1,8.7,1.5,4.8,34540,High school diploma or equivalent,None,Long-term on-the-job training
"Internists, general",29-1063,51.3,58.6,7.3,14.1,10.3,20.1,187200,Doctoral or professional degree,None,Internship/residency
"Healthcare practitioners and technical workers, all other",29-9099,51.6,60.4,8.8,17.1,2.1,22.8,46180,Bachelor's degree,None,None
"Life sciences teachers, postsecondary",25-1040,77.3,90.6,13.3,17.2,0.1,24.9,75650,,,
"Mail clerks and mail machine operators, except postal service",43-9051,108.5,98.9,-9.6,-8.8,0.6,24.9,26900,High school diploma or equivalent,None,Short-term on-the-job training
"Postal service mail sorters, processors, and processing machine operators",43-5053,129.6,91,-38.6,-29.8,,9.4,53090,High school diploma or equivalent,None,Short-term on-the-job training
"Shipping, receiving, and traffic clerks",43-5071,695.5,702.3,6.8,1,,189.6,29010,High school diploma or equivalent,None,Short-term on-the-job training
Insurance claims and policy processing clerks,43-9041,254.4,275,20.6,8.1,0.2,88.1,35700,High school diploma or equivalent,None,Moderate-term on-the-job training
"First-line supervisors of landscaping, lawn service, and groundskeeping workers",37-1012,207.3,233.6,26.3,12.7,51.4,49.9,42160,High school diploma or equivalent,Less than 5 years,None
Animal care and service workers,39-2000,232.1,267.5,35.4,15.2,24.8,76.6,19970,,,
Drywall and ceiling tile installers,47-2081,94.8,109.9,15.1,15.9,18.7,24.1,37210,Less than high school,None,Moderate-term on-the-job training
"Pump operators, except wellhead pumpers",53-7072,13.2,14.7,1.4,10.8,8.8,6,44610,Less than high school,None,Moderate-term on-the-job training
"Model makers, metal and plastic",51-4061,6.1,6.3,0.1,2.2,6.3,1.3,45850,High school diploma or equivalent,None,Moderate-term on-the-job training
Aircraft pilots and flight engineers,53-2010,104.1,103.3,-0.8,-0.8,1.4,33.7,98410,,,
"Layout workers, metal and plastic",51-4192,12.7,12.3,-0.4,-3,,2.4,42050,High school diploma or equivalent,None,Moderate-term on-the-job training
"Forming machine setters, operators, and tenders, metal and plastic",51-4020,133.9,115.5,-18.4,-13.7,,25.8,33900,,,
"Social workers, all other",21-1029,61.2,67,5.8,9.5,0.6,18.8,54560,Bachelor's degree,None,None
Foundry mold and coremakers,51-4071,12.4,10.4,-2,-16.2,,1.5,30540,High school diploma or equivalent,None,Moderate-term on-the-job training
Other production occupations,51-9000,2476.9,2527.1,50.2,2,2.5,655.1,29330,,,
Tire builders,51-9197,17.4,15.8,-1.5,-8.8,,4.1,41210,High school diploma or equivalent,None,Moderate-term on-the-job training
Building cleaning and pest control workers,37-2000,3838.4,4316.8,478.4,12.5,6.9,1220.5,21570,,,
"Installation, maintenance, and repair occupations",49-0000,5514.8,6046,531.2,9.6,5.3,1813.7,41020,,,
Miscellaneous plant and system operators,51-8090,104.7,97.2,-7.5,-7.2,,38.9,57980,,,
Motor vehicle operators,53-3000,3945.4,4314.2,368.8,9.3,7.3,1013.2,32800,,,
Computer and information analysts,15-1120,595.7,750.9,155.2,26.1,3.6,248.8,80460,,,
Human resources specialists,13-1071,418,451.1,33.2,7.9,1.7,109.5,55800,Bachelor's degree,None,None
Marine engineers and naval architects,17-2121,7.3,8.1,0.8,10.3,3.7,2.6,88100,Bachelor's degree,None,None
Printing workers,51-5100,276,261.5,-14.5,-5.3,3.3,51.9,34100,,,
Miscellaneous food processing workers,51-3090,198.3,198.8,0.5,0.2,2.3,61.9,25780,,,
"Chemical processing machine setters, operators, and tenders",51-9010,97.7,91.8,-5.9,-6,0.2,34,43280,,,
Shoe machine operators and tenders,51-6042,3.5,2.3,-1.2,-35.3,,0.6,24310,High school diploma or equivalent,None,Short-term on-the-job training
Postal service clerks,43-5051,66.9,45.7,-21.3,-31.8,,10.2,53090,High school diploma or equivalent,None,Short-term on-the-job training
Management analysts,13-1111,718.7,852.5,133.8,18.6,21.4,245.2,78600,Bachelor's degree,Less than 5 years,None
Supervisors of transportation and material moving workers,53-1000,379.5,411.5,32,8.4,1.2,136.4,48910,,,
"Computer occupations, all other",15-1199,205.8,213.6,7.8,3.8,4,40.2,81140,Bachelor's degree,None,None
"First-line supervisors of helpers, laborers, and material movers, hand",53-1021,171.6,186.3,14.7,8.5,1.3,61.9,45180,High school diploma or equivalent,Less than 5 years,None
Helpers--carpenters,47-3012,36.4,47.1,10.8,29.6,0.5,16.4,25550,Less than high school,None,Short-term on-the-job training
Writers and authors,27-3043,129.1,132.9,3.8,3,64.4,31.8,55940,Bachelor's degree,None,Moderate-term on-the-job training
Embalmers,39-4011,5.1,4.4,-0.8,-15,1.5,1.1,42240,Postsecondary non-degree award,None,Short-term on-the-job training
"Library science teachers, postsecondary",25-1082,5.5,6.1,0.6,10.8,,1.4,65780,Doctoral or professional degree,None,None
"Securities, commodities, and financial services sales agents",41-3031,354.6,394.3,39.7,11.2,6.4,122.6,71720,Bachelor's degree,None,Moderate-term on-the-job training
"Mining machine operators, all other",47-5049,3.1,3.2,0.1,2.7,4.3,0.6,46810,High school diploma or equivalent,None,Moderate-term on-the-job training
Floor sanders and finishers,47-2043,6,6.9,0.9,14.8,30.6,2,33240,High school diploma or equivalent,None,Moderate-term on-the-job training
Social and human service assistants,21-1093,372.7,453.9,81.2,21.8,,178.7,28850,High school diploma or equivalent,None,Short-term on-the-job training
Shampooers,39-5093,18.9,18.6,-0.3,-1.5,26.8,1.6,18310,Less than high school,None,Short-term on-the-job training
"Special education teachers, preschool",25-2051,22.3,25.9,3.6,16.2,1.5,7.4,52480,Bachelor's degree,None,Internship/residency
Massage therapists,31-9011,132.8,162.8,30,22.6,46,44.1,35970,Postsecondary non-degree award,None,None
Atmospheric and space scientists,19-2021,11.1,12.2,1.1,10,1.7,3.8,89260,Bachelor's degree,None,None
Dispatchers,43-5030,289.4,318.4,29,10,0.7,112.5,35910,,,
"Barbers, hairdressers, hairstylists and cosmetologists",39-5010,663.3,746.6,83.3,12.6,44.3,240,22770,,,
Financial analysts and advisors,13-2050,582.7,675.9,93.2,16,9.2,226.2,71770,,,
Personal care aides,39-9021,1190.6,1771.4,580.8,48.8,5.9,666,19910,Less than high school,None,Short-term on-the-job training
Astronomers and physicists,19-2010,23.3,25.7,2.4,10.3,6.9,8.1,106360,,,
Actors,27-2011,79.8,83,3.3,4.1,11.6,28.9,,"Some college, no degree",None,Long-term on-the-job training
Assemblers and fabricators,51-2000,1755.2,1819.4,64.2,3.7,1.4,371.5,28580,,,
Bus drivers,53-3020,654.3,712.2,57.9,8.9,1.3,178,29550,,,
Pest control workers,37-2021,65.4,78.2,12.8,19.7,5.6,30.6,30060,High school diploma or equivalent,None,Moderate-term on-the-job training
"Media and communication workers, all other",27-3099,30.7,32.3,1.5,4.9,24.4,5.7,45160,High school diploma or equivalent,None,Short-term on-the-job training
Miscellaneous postsecondary teachers,25-1190,563.2,630.3,67.1,11.9,0.1,151.7,47640,,,
Materials engineers,17-2131,23.2,23.4,0.2,0.9,,7.5,85150,Bachelor's degree,None,None
